ID_TYPE_ENTITE	ID_ENTITE 	NOM_COURRIER                                                                              	ID_STATUT_SURV
S             	       872	HINES R&P MANAGEMENT COMPANY S.A R.L.                                                     	C16           
S             	       875	KJK CAPITAL LUXEMBOURG S.A.                                                               	C16           
S             	       877	CBRE INVESTMENT MANAGEMENT FUND S.A R.L.                                                  	C16           
S             	       878	PIMCO GLOBAL ADVISORS (LUXEMBOURG) S.A.                                                   	C16           
S             	       880	LASALLE AIFM EUROPE S.A R.L.                                                              	C16           
S             	       884	EIFFEL INVESTMENT GROUP S.A R.L.                                                          	C16           
S             	       888	GEN II MANAGEMENT COMPANY (LUXEMBOURG) SARL                                               	C15           
S             	       889	EUROPEAN CAPITAL PARTNERS (LUXEMBOURG) S.A.                                               	C15           
S             	       890	ZADIG ASSET MANAGEMENT S.A.                                                               	C15           
S             	       895	LGT FUND MANAGEMENT (LUX) S.A.                                                            	C16           
S             	       897	MIRABAUD ASSET MANAGEMENT (EUROPE) S.A.                                                   	C15           
S             	       899	J. SAFRA SARASIN FUND MANAGEMENT (LUXEMBOURG) S.A.                                        	C15           
S             	       901	MERCER ALTERNATIVES (LUXEMBOURG) S.A R.L.                                                 	C16           
S             	       902	NINETY ONE LUXEMBOURG S.A.                                                                	C15           
S             	       909	ALPHA INVESTOR SERVICES MANAGEMENT                                                        	C15           
S             	       910	ESO MANAGEMENT (LUXEMBOURG) LIMITED SARL                                                  	C16           
S             	       911	A&G LUXEMBOURG AM S.A.                                                                    	C16           
S             	       913	EQT FUND MANAGEMENT S.A R.L.                                                              	C16           
S             	       917	SEDCO CAPITAL LUXEMBOURG S.A.                                                             	C16           
S             	       919	CINVEN MANCO S.A R.L.                                                                     	C16           
S             	       920	BLUEORCHARD ASSET MANAGEMENT (LUXEMBOURG) S.A.                                            	C16           
S             	       922	PHARUS MANAGEMENT LUX S.A.                                                                	C15           
S             	       923	M&G LUXEMBOURG S.A.                                                                       	C15           
S             	       926	INSTITUTIONAL INVESTMENT PARTNERS S.A R.L.                                                	C16           
S             	       927	CAPMAN NORDIC REAL ESTATE MANAGER S.A.                                                    	C16           
S             	       928	SWISS LIFE ASSET MANAGERS LUXEMBOURG                                                      	C15           
S             	       929	FLOSSBACH VON STORCH INVEST S.A.                                                          	C15           
S             	       930	ALMA CAPITAL INVESTMENT MANAGEMENT                                                        	C15           
S             	       934	BAMBOO CAPITAL PARTNERS S.A.                                                              	C16           
S             	       936	CORDIANT LUXEMBOURG S.A.                                                                  	C16           
S             	       937	EASTSPRING INVESTMENTS (LUXEMBOURG) S.A.                                                  	C15           
S             	       939	M&G REAL ESTATE FUNDS MANAGEMENT S.A R.L.                                                 	C16           
S             	       940	EAST CAPITAL ASSET MANAGEMENT S.A.                                                        	C15           
S             	       941	ORBIS INVESTMENT MANAGEMENT (LUXEMBOURG) S.A.                                             	C15           
S             	       944	ALTER DOMUS MANAGEMENT COMPANY S.A.                                                       	C15           
S             	       945	PATRIZIA INVESTMENT MANAGEMENT S.À R.L.                                                   	C16           
S             	       948	NIAM CREDIT MANAGEMENT S.À R.L.                                                           	C16           
S             	       949	CARMIGNAC GESTION LUXEMBOURG                                                              	C15           
S             	       950	UBP ASSET MANAGEMENT (EUROPE) S.A.                                                        	C15           
S             	       951	WAYSTONE FUND MANAGEMENT (LUX) S.A.                                                       	C15           
S             	       952	TMF FUND MANAGEMENT S.A.                                                                  	C15           
S             	       953	LCN MANAGEMENT COMPANY S.A R.L.                                                           	C16           
S             	       954	GENESTA NORDIC CAPITAL FUND MANAGEMENT S.A R.L.                                           	C16           
S             	       956	CAIBUO CAPITAL S.A R.L.                                                                   	C16           
S             	       960	JTC GLOBAL AIFM SOLUTIONS S.A.                                                            	C16           
S             	       961	JANUS HENDERSON INVESTORS EUROPE S.A.                                                     	C15           
S             	       962	SWANCAP INVESTMENT MANAGEMENT S.A.                                                        	C16           
S             	       964	FRANKLIN TEMPLETON INTERNATIONAL SERVICES S.À R.L.                                        	C15           
S             	       965	NS PARTNERS EUROPE S.A.                                                                   	C15           
S             	       968	ING SOLUTIONS INVESTMENT MANAGEMENT S.A.                                                  	C15           
S             	       975	EXPLORA                                                                                   	C16           
S             	       976	SÖDERBERG & PARTNERS ASSET MANAGEMENT S.A.                                                	C15           
S             	       977	CADELUX S.A.                                                                              	C15           
S             	       979	URBAN PARTNERS MANAGEMENT COMPANY S.A.                                                    	C16           
S             	       981	ROYALTON PARTNERS                                                                         	C16           
S             	       982	HINES POLAND MANAGEMENT COMPANY S.A R.L.                                                  	C16           
S             	       985	MUNICH PRIVATE EQUITY PARTNERS MANAGEMENT S.A.                                            	C16           
S             	       986	JAB CONSUMER FUND MANAGEMENT S.A R.L.                                                     	C16           
S             	       987	FUNDS AVENUE S.A.                                                                         	C15           
S             	       988	GENERALI INVESTMENTS LUXEMBOURG S.A.                                                      	C15           
S             	       990	COMMERZ REAL FUND MANAGEMENT S.A R.L.                                                     	C16           
S             	       992	GOLDING CAPITAL PARTNERS (LUXEMBOURG) S.A.                                                	C16           
S             	       994	MANDATUM FUND MANAGEMENT S.A.                                                             	C15           
S             	       995	PANDOO MANAGEMENT                                                                         	C16           
S             	       996	ROTHSCHILD & CO INVESTMENT MANAGERS                                                       	C15           
S             	       997	SHAFTESBURY FUND MANAGEMENT (LUXEMBOURG) S.A.                                             	C16           
S             	       998	QUILVEST CAPITAL PARTNERS AM S.A.                                                         	C16           
S             	       999	ALLSPRING GLOBAL INVESTMENTS LUXEMBOURG S.A.                                              	C15           
